type,name,url,poster_url,description,rating,genre,datePublished,keywords,duration,actors,director,creator
TVSeries,Ramayan,https://www.imdb.com/title/tt0268093/,https://m.media-amazon.com/images/M/MV5BNDQwZWZlYmUtYTM5OS00ZmJmLTkyYTQtMGMzM2NjMWFjM2QxXkEyXkFqcGdeQXVyNDczMTgwMTk@._V1_.jpg,"An adaptation of the ancient epic, in which the exiled Prince Rama and his brother Laxman set out to save Rama&apos;s wife, Sita, who has been kidnapped by the demon king of Lanka Ravana.",9,Adventure | Drama | Family,1987-01-25,"mythology,indian mythology,ram,sita,kidnapping",,Arun Govil | Deepika Chikhalia | Sunil Lahri,,Ramanand Sagar
Movie,Loha,https://www.imdb.com/title/tt0359614/,https://m.media-amazon.com/images/M/MV5BMTVkZjQ3ZDAtNDJlOC00OTNjLWE2OTctZTM3MTViYTk0M2Q3L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNDMyNDQ4NjY@._V1_.jpg,"Honest and diligent Police Inspector Amar lives a middle-classed lifestyle in Bombay. In his attempt to arrest bandit Sher Singh, he and Inspector Dayal are attacked, Amar survives, but Dayal gets his legs crushed under a truck an...",6,Action | Drama | Thriller,1987-01-23,"bandit,police officer,action hero,old man,cruelty",PT2H33M,Dharmendra | Shatrughan Sinha | Karan Kapoor,Raj N. Sippy,Ravi Kapoor | Mohan Kaul | Kader Khan
Movie,Hukumat,https://www.imdb.com/title/tt0359440/,https://m.media-amazon.com/images/M/MV5BYzE2NTQzYWQtZmJiYS00NDUxLTk0NmMtY2JjOWQxMDEwYjA3XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,"A tough cop is posted to a small town where an evil businessman reigns like a tyrant. When the cop recognizes the businessman as his father&apos;s murderer, it becomes personal.",6.2,Action | Drama,1987-03-27,"tough cop,child hostage,evil cop,police officer,tyrant",PT2H10M,Dharmendra | Rati Agnihotri | Shammi Kapoor,Anil Sharma,
Movie,Dacait,https://www.imdb.com/title/tt0266439/,https://m.media-amazon.com/images/M/MV5BMWYxMDAzNjktMGU0Zi00OTI3LTliMTQtODUzODExYTIwNGM4XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,"Arjun Yadav return from the city after completing his studies to get settled in his village with his family consisting of his mother Devi Chaudaran, his older brother Amrit and sister. Arjun finds out that Amrit and Thakur Bhanwar...",6.5,Action | Drama,1987-04-10,"police,murder,brother sister relationship,brother brother relationship,mother son relationship",PT2H38M,Rakhee Gulzar | Sunny Deol | Meenakshi Sheshadri,Rahul Rawail,Javed Akhtar
Movie,Khudgarz,https://www.imdb.com/title/tt0248135/,https://m.media-amazon.com/images/M/MV5BMTliMDIxY2QtN2NiOS00MDcyLWJlZTYtZDg3YTM2MzhjYmYyXkEyXkFqcGdeQXVyNzMzMjU5NDY@._V1_.jpg,"Sita Sinha watches as her young son, Bihari fights another young, wealthy lad, Amar for spattering dirt on his body using his car. Sita then intervene, separates both, take them to her house only to make them embrace each other wh...",6,Drama,1987-07-31,"hotel,friend turned foe,restaurant,class differences,greed",PT2H38M,Jeetendra | Shatrughan Sinha | Bhanupriya,Rakesh Roshan,
Movie,Kachchi Kali,https://www.imdb.com/title/tt0476273/,https://m.media-amazon.com/images/M/MV5BZTg2OTdiM2QtMjk4NC00ZTEwLTgzZWYtNDNmNGM4YTZiNmU0XkEyXkFqcGdeQXVyODA3NzU4Njc@._V1_.jpg,Sonika Gill plays an innocent virgin girl (Kachchi Kali as the title indicates) who is tricked by her lover (Ajinkya Deo) who is a blue film maker and sold off in to prostitution. Her brother (Alok Nath) tries hard to search for h...,6.3,Drama,1987-07-12,,,Sonika Gill | Kapil Karzan | Ajinkya Deo,K.R. Rangan,P.L. Ahuja | Ali Akbar Amburi | K.R. Rangan
Movie,Dance Dance,https://www.imdb.com/title/tt0317312/,https://m.media-amazon.com/images/M/MV5BMGE0MTY0ZGYtNDMwMy00MGI1LTkzOGUtYjBjMjFiNDllMjYxXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_.jpg,"Orphaned as kids, Radha and her brother Ramu make their living by dancing and singing in small functions. Ramu makes it big in the music world.",6.1,Action | Drama | Musical,1987-05-15,"murder of a pregnant woman,pregnancy,song,machine gun,landlord",PT2H33M,Mithun Chakraborty | Smita Patil | Mandakini,Babbar Subhash,Rahi Masoom Reza | Babbar Subhash
Movie,Ijaazat,https://www.imdb.com/title/tt0091256/,https://m.media-amazon.com/images/M/MV5BZDlhNTc2N2QtZGM2OS00YmY2LWI2NWMtYTU0MDg5MTY2NmVmXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg,"Meeting accidentally five years after their divorce, a couple reflects on how their marriage collapsed despite transparency.",8.4,Drama | Musical | Romance,1987-07-08,"flashback,boyfriend girlfriend relationship,waiting room,suicide attempt,rainy night",PT2H17M,Rekha | Naseeruddin Shah | Anuradha Patel,Gulzar,Subodh Ghosh | Gulzar
Movie,Khooni Mahal,https://www.imdb.com/title/tt0381324/,https://m.media-amazon.com/images/M/MV5BN2M3ZjIwNTYtMDFkZC00MDAwLWJjMzMtMmExM2VmYTlkMjU2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_.jpg,"After years of burial, a monster is accidentally set free by a group of people which leads to disastrous sequence of incidents.",6.1,Horror,1987-05-27,monster,,Raj Kiran | Shoma Anand | Javed Khan,Mohan Bhakri,Mohan Bhakri | Anil Pandit
Movie,Jalwa,https://www.imdb.com/title/tt0093293/,https://m.media-amazon.com/images/M/MV5BNzQxMDdmOGEtYTM2MS00N2EzLTkwYmUtMzU4MGU3YWYyM2ZiXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,"Kapil&apos;s (Naseeruddin Shah) younger brother, Buntu, dies as a result of a drug overdose. Kapil vows to put an end to drugs and drug-dealers, by joining the police. He soon attains the title of C.I.D. Inspector. He lives in Bombay w...",6.6,Action | Comedy | Crime,1987-01-23,"police officer,bare chested male,hero,action hero,friendship",PT2H14M,Naseeruddin Shah | Archana Puran Singh | Tejeshwar Singh,Pankaj Parashar,Kamlesh Pandey
Movie,7 Saal Baad,https://www.imdb.com/title/tt0391720/,https://m.media-amazon.com/images/M/MV5BNGU3Y2UyNmQtMTlhMS00NWJkLThlOTQtMjU5NTQ3MmFkNWExXkEyXkFqcGdeQXVyNjc1MzY5NDU@._V1_.jpg,"A married couple Nisha Mathur (Sharmila Tagore), and her husband Dilip Mathur (Navin Nishchal), purchase a hotel in a scenic locale. In the beginning, no one comes to stay there, however, the hotel soon attracts several young coup...",4.2,Drama | Horror | Musical,1987-07-30,"woman fights a woman,long hair,knife fight,fistfight,reincarnation",PT2H7M,Sharmila Tagore | Suresh Oberoi | Navin Nischol,S.U. Syed,Suroor | Subhash | Mahendra Dehlvi
Movie,Sansar,https://www.imdb.com/title/tt0260345/,https://m.media-amazon.com/images/M/MV5BMzNhODAzMDYtMTA1Yy00YTcwLWIyNTgtZjIwYmI0ZWFiMGFjXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,"Din Dayal Sharma works as a Head Clerk and lives with his wife, Godavari; 3 sons Vijay, his wife Uma; Shiva and Vidyasagar; and a daughter named Rajni. Their standard of living is middle-class and all three males contribute to thi...",6.9,Drama,1987-04-03,remake,,Rekha | Raj Babbar | Anupam Kher,Rama Rao Tatineni,K.K. Singh | Visu
Movie,Daku Hasina,https://www.imdb.com/title/tt0270299/,https://m.media-amazon.com/images/M/MV5BMGUwNzdiNTctODY5My00OGNmLWE2NDctOGRmNGNjN2NjZDhiXkEyXkFqcGdeQXVyMzQxMzg1MQ@@._V1_.jpg,The movie is about a simple village girl played by Zeenat Aman who changes into a dreaded thief and bandit who creates havoc on the village and the police after her parents are killed by the village head and others.,5.5,Action | Drama,,"police,bandit,jumping from a mountain,writing in blood,blood",,Zeenat Aman | Rajinikanth | Pradeep Kumar,Ashok Roy,Rajeev Kaul
Movie,Superman,https://www.imdb.com/title/tt0297416/,https://m.media-amazon.com/images/M/MV5BNWM3NjBhOGYtMzU5Ny00YjJkLTkxMTYtMTlkNThmN2YzZjJhXkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_.jpg,"A young baby from the doomed planet Krypton is sent to Earth, where he is adopted by an elderly couple in India who name him Shekhar. After growing to an adult and learning about his origins and powers, he goes to the city in sear...",3.8,Action | Adventure | Sci-Fi,1987-12-31,"dc comics,superhero,based on comic book,superman character,kryptonian",PT2H3M,Puneet Issar | Sonia Sahni | Dharmendra,B. Gupta,Sunil Priyadarshi | Naseem Saharanpuri | S.K.S. Sharma
Movie,Sitapur Ki Geeta,https://www.imdb.com/title/tt0243561/,https://m.media-amazon.com/images/M/MV5BODhkZDZmNzUtMDNhOS00MWE2LWFkYWUtOGU5OGQyN2U2M2NiXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,"A poor widowed farmer, Dharma Singh, raises two children, a boy (Karan) and a girl (Geeta) on his own in a town called Rampur, and would like his son to grow up to be a police officer. Alas, that was not to be so, for heavy torren...",5.6,Action | Crime,1987-05-08,,PT2H17M,Rajesh Khanna | Hema Malini | Pran Sikand,Shibu Mitra,Faiz Saleem
